implementation,run,final_ll,corr_within,corr_between,amari_within,amari_between
Fortran,0,-3.3540,0.6169,0.6061,0.1710,0.1853
Fortran,1,-3.3526,0.6348,0.6508,0.1615,0.1593
Fortran,2,-3.3535,0.6145,0.6064,0.1756,0.1876
Fortran,3,-3.3512,0.6250,0.6356,0.1655,0.1684
Fortran,4,-3.3511,0.6290,0.6424,0.1654,0.1663
Fortran,5,-3.3556,0.6118,0.6047,0.1707,0.1853
Fortran,6,-3.3531,0.6268,0.6334,0.1610,0.1648
Fortran,7,-3.3506,0.6238,0.6247,0.1700,0.1765
Fortran,8,-3.3560,0.6332,0.6471,0.1643,0.1696
Fortran,9,-3.3529,0.6344,0.6458,0.1606,0.1648
Fortran,10,-3.3541,0.6057,0.6019,0.1782,0.1876
Fortran,11,-3.3531,0.6353,0.6534,0.1627,0.1631
Fortran,12,-3.3559,0.6182,0.6147,0.1680,0.1796
Fortran,13,-3.3580,0.6497,0.6503,0.1590,0.1642
Fortran,14,-3.3577,0.6270,0.6343,0.1637,0.1679
Fortran,15,-3.3574,0.6315,0.6322,0.1653,0.1715
Fortran,16,-3.3553,0.6101,0.6119,0.1701,0.1772
Fortran,17,-3.3555,0.6181,0.6287,0.1698,0.1718
Fortran,18,-3.3539,0.6428,0.6764,0.1596,0.1537
Fortran,19,-3.3554,0.6222,0.6371,0.1638,0.1664
pamica,0,-3.3507,0.6507,0.6421,0.1703,0.1671
pamica,1,-3.3530,0.6491,0.6338,0.1687,0.1687
pamica,2,-3.3541,0.6264,0.6206,0.1829,0.1785
pamica,3,-3.3550,0.6277,0.6324,0.1860,0.1730
pamica,4,-3.3570,0.6390,0.6358,0.1804,0.1706
pamica,5,-3.3593,0.5984,0.6025,0.1983,0.1880
pamica,6,-3.3500,0.6608,0.6492,0.1605,0.1615
pamica,7,-3.3535,0.6266,0.6175,0.1823,0.1786
pamica,8,-3.3593,0.6177,0.6205,0.1859,0.1751
pamica,9,-3.3551,0.6587,0.6442,0.1633,0.1644
pamica,10,-3.3497,0.6385,0.6269,0.1747,0.1749
pamica,11,-3.3517,0.6291,0.6259,0.1800,0.1752
pamica,12,-3.3545,0.6608,0.6499,0.1642,0.1631
pamica,13,-3.3532,0.6591,0.6456,0.1638,0.1665
pamica,14,-3.3531,0.6237,0.6252,0.1823,0.1733
pamica,15,-3.3528,0.6357,0.6361,0.1795,0.1704
pamica,16,-3.3588,0.6256,0.6219,0.1789,0.1720
pamica,17,-3.3515,0.6408,0.6326,0.1784,0.1742
pamica,18,-3.3581,0.6173,0.6221,0.1868,0.1751
pamica,19,-3.3525,0.6663,0.6528,0.1574,0.1609
