implementation,run,final_ll,corr_within,corr_between,amari_within,amari_between
Fortran,0,-3.3540,0.6169,0.6207,0.1710,0.1713
Fortran,1,-3.3526,0.6348,0.6673,0.1615,0.1495
Fortran,2,-3.3535,0.6145,0.6204,0.1756,0.1718
Fortran,3,-3.3512,0.6250,0.6377,0.1655,0.1605
Fortran,4,-3.3511,0.6290,0.6501,0.1654,0.1569
Fortran,5,-3.3556,0.6118,0.6239,0.1707,0.1695
Fortran,6,-3.3531,0.6268,0.6380,0.1610,0.1557
Fortran,7,-3.3506,0.6238,0.6404,0.1700,0.1637
Fortran,8,-3.3560,0.6332,0.6518,0.1643,0.1583
Fortran,9,-3.3529,0.6344,0.6542,0.1606,0.1559
Fortran,10,-3.3541,0.6057,0.6181,0.1782,0.1714
Fortran,11,-3.3531,0.6353,0.6603,0.1627,0.1531
Fortran,12,-3.3559,0.6182,0.6346,0.1680,0.1644
Fortran,13,-3.3580,0.6497,0.6595,0.1590,0.1547
Fortran,14,-3.3577,0.6270,0.6442,0.1637,0.1577
Fortran,15,-3.3574,0.6315,0.6408,0.1653,0.1592
Fortran,16,-3.3553,0.6101,0.6239,0.1701,0.1640
Fortran,17,-3.3555,0.6181,0.6360,0.1698,0.1631
Fortran,18,-3.3539,0.6428,0.6888,0.1596,0.1448
Fortran,19,-3.3554,0.6222,0.6423,0.1638,0.1568
pamica,0,-3.3709,0.7094,0.6720,0.1382,0.1561
pamica,1,-3.3565,0.6670,0.6399,0.1520,0.1595
pamica,2,-3.3573,0.6429,0.6343,0.1513,0.1539
pamica,3,-3.3742,0.6451,0.6277,0.1476,0.1541
pamica,4,-3.3665,0.6768,0.6507,0.1546,0.1643
pamica,5,-3.3550,0.6353,0.6230,0.1676,0.1711
pamica,6,-3.3611,0.6846,0.6574,0.1399,0.1534
pamica,7,-3.3691,0.6798,0.6441,0.1494,0.1646
pamica,8,-3.3581,0.6311,0.6266,0.1673,0.1722
pamica,9,-3.3636,0.6926,0.6587,0.1440,0.1603
pamica,10,-3.3656,0.6773,0.6453,0.1483,0.1633
pamica,11,-3.3569,0.6343,0.6227,0.1594,0.1664
pamica,12,-3.3586,0.6708,0.6453,0.1487,0.1562
pamica,13,-3.3650,0.6939,0.6608,0.1425,0.1587
pamica,14,-3.3752,0.6945,0.6566,0.1410,0.1580
pamica,15,-3.3552,0.6617,0.6412,0.1535,0.1602
pamica,16,-3.3597,0.6445,0.6304,0.1604,0.1640
pamica,17,-3.3660,0.6758,0.6464,0.1434,0.1543
pamica,18,-3.3641,0.6294,0.6200,0.1554,0.1577
pamica,19,-3.3564,0.6696,0.6499,0.1455,0.1543
