 minimum eigenvalues =    4.8799005132501518        6.9201197127079643        7.6562147928880719     
 maximum eigenvalues =    9711.1430838537053        3039.6850435125002        1244.4129447052055     
 num eigs kept =           32
 minimum eigenvalues =    4.8799005132501518        6.9201197127079643        7.6562147928880719     
 maximum eigenvalues =    9711.1430838537053        3039.6850435125002        1244.4129447052055     
 num eigs kept =           32
 iter     1 lrate =  0.0500000000 LL =  -3.5138404119 nd =  0.0582472378, D =   0.42970E-02  0.42970E-02  (  0.10 s,   0.0 h)
 iter     2 lrate =  0.0500000000 LL =  -3.4686647974 nd =  0.0257873373, D =   0.37613E-02  0.37613E-02  (  0.10 s,   0.0 h)
 iter     3 lrate =  0.0500000000 LL =  -3.4616920323 nd =  0.0243745621, D =   0.37866E-02  0.37866E-02  (  0.10 s,   0.0 h)
 iter     4 lrate =  0.0500000000 LL =  -3.4590483434 nd =  0.0268337143, D =   0.57743E-02  0.57743E-02  (  0.10 s,   0.0 h)
 iter     5 lrate =  0.0500000000 LL =  -3.4570950991 nd =  0.0275204167, D =   0.10300E-01  0.10300E-01  (  0.10 s,   0.0 h)
 iter     6 lrate =  0.0500000000 LL =  -3.4554259776 nd =  0.0271554390, D =   0.17193E-01  0.17193E-01  (  0.10 s,   0.0 h)
 iter     7 lrate =  0.0500000000 LL =  -3.4539448816 nd =  0.0263078732, D =   0.25963E-01  0.25963E-01  (  0.10 s,   0.0 h)
 iter     8 lrate =  0.0500000000 LL =  -3.4526061773 nd =  0.0252305695, D =   0.36058E-01  0.36058E-01  (  0.10 s,   0.0 h)
 iter     9 lrate =  0.0500000000 LL =  -3.4514049324 nd =  0.0239589135, D =   0.46948E-01  0.46948E-01  (  0.10 s,   0.0 h)
 iter    10 lrate =  0.0500000000 LL =  -3.4503446967 nd =  0.0224833972, D =   0.58114E-01  0.58114E-01  (  0.10 s,   0.0 h)
 iter    11 lrate =  0.0500000000 LL =  -3.4494273388 nd =  0.0208405539, D =   0.69043E-01  0.69043E-01  (  0.10 s,   0.0 h)
 iter    12 lrate =  0.0500000000 LL =  -3.4486503827 nd =  0.0191031940, D =   0.79272E-01  0.79272E-01  (  0.10 s,   0.0 h)
 iter    13 lrate =  0.0500000000 LL =  -3.4480028416 nd =  0.0173800933, D =   0.88429E-01  0.88429E-01  (  0.10 s,   0.0 h)
 iter    14 lrate =  0.0500000000 LL =  -3.4474749603 nd =  0.0156968335, D =   0.96270E-01  0.96270E-01  (  0.10 s,   0.0 h)
 iter    15 lrate =  0.0500000000 LL =  -3.4470391911 nd =  0.0143341558, D =   0.10260E+00  0.10260E+00  (  0.10 s,   0.0 h)
 iter    16 lrate =  0.0500000000 LL =  -3.4466732866 nd =  0.0132110732, D =   0.10754E+00  0.10754E+00  (  0.10 s,   0.0 h)
 iter    17 lrate =  0.0500000000 LL =  -3.4463623229 nd =  0.0123285260, D =   0.11120E+00  0.11120E+00  (  0.10 s,   0.0 h)
 iter    18 lrate =  0.0500000000 LL =  -3.4460914899 nd =  0.0116493533, D =   0.11371E+00  0.11371E+00  (  0.10 s,   0.0 h)
 iter    19 lrate =  0.0500000000 LL =  -3.4458502064 nd =  0.0111482807, D =   0.11524E+00  0.11524E+00  (  0.10 s,   0.0 h)
 iter    20 lrate =  0.0500000000 LL =  -3.4456268009 nd =  0.0107728174, D =   0.11596E+00  0.11596E+00  (  0.10 s,   0.0 h)
 iter    21 lrate =  0.0500000000 LL =  -3.4454181035 nd =  0.0104894729, D =   0.11604E+00  0.11604E+00  (  0.10 s,   0.0 h)
 iter    22 lrate =  0.0500000000 LL =  -3.4452217620 nd =  0.0102683247, D =   0.11562E+00  0.11562E+00  (  0.10 s,   0.0 h)
